Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
1.500000000000000000e+01	-5.692677503934213945e+01	-4.692735105964955267e+01	-4.692735105968665721e+01	-5.692677503929543548e+01	6.782378690613610672e+01	1.762678358361139885e+02	-3.732164163715370186e+00	6.782378690553386491e+01
1.550000000000000000e+01	-5.661337702814853401e+01	-4.687107823612577562e+01	-4.687107823610478619e+01	-5.661337702819054130e+01	6.823061792470552689e+01	1.761181393606428003e+02	-3.881860639437642924e+00	6.823061792457235697e+01
1.600000000000000000e+01	-5.630441045905171649e+01	-4.681259457400922486e+01	-4.681259457402770607e+01	-5.630441045913167386e+01	6.860301402347093358e+01	1.759655993683620352e+02	-4.034400631843716667e+00	6.860301402334877707e+01
1.650000000000000000e+01	-5.599954471847480875e+01	-4.675185995232929059e+01	-4.675185995232556024e+01	-5.599954471839897252e+01	6.894335301905550750e+01	1.758100589540259193e+02	-4.189941046032920724e+00	6.894335301845997321e+01
1.700000000000000000e+01	-5.569846152648334225e+01	-4.668883213885298744e+01	-4.668883213888398132e+01	-5.569846152648872817e+01	6.925374902490209195e+01	1.756513530422988651e+02	-4.348646957914223954e+00	6.925374902555013534e+01
1.750000000000000000e+01	-5.540085449473576062e+01	-4.662346669045309255e+01	-4.662346669044984537e+01	-5.540085449478687707e+01	6.953608211424331387e+01	1.754893077498805383e+02	-4.510692249929725506e+00	6.953608211370945469e+01
1.800000000000000000e+01	-5.510642855262393169e+01	-4.655571684602314519e+01	-4.655571684601323312e+01	-5.510642855256343609e+01	6.979202387494385107e+01	1.753237396953255995e+02	-4.676260304785452959e+00	6.979202387498806104e+01
1.850000000000000000e+01	-5.481489928545137502e+01	-4.648553341236336678e+01	-4.648553341239263403e+01	-5.481489928546639590e+01	7.002305946544331050e+01	1.751544552440546454e+02	-4.845544756043617340e+00	7.002305946601744324e+01
1.900000000000000000e+01	-5.452599221993268941e+01	-4.641286464171010806e+01	-4.641286464170356396e+01	-5.452599222003168222e+01	7.023050663668993820e+01	1.749812496912438746e+02	-5.018750308702895957e+00	7.023050663717471309e+01
1.950000000000000000e+01	-5.423944207629840264e+01	-4.633765610081346153e+01	-4.633765610080252628e+01	-5.423944207630682257e+01	7.041553214101753611e+01	1.748039063670493647e+02	-5.196093632904116966e+00	7.041553214124513715e+01
