Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
6.000000000000000000e+00	-5.510467372171262923e+01	-7.449595922152447258e+01	-5.807208910446988881e+01	-5.059532549622663566e+01	-4.750737795573299138e+01	-2.553359638326818626e+01	-1.551735066061426664e+02	1.769510622578085304e+02
6.500000000000000000e+00	-5.551587555078489800e+01	-7.458622278042179232e+01	-5.862266484706459124e+01	-5.041967694061064265e+01	-5.016606535701797043e+01	-2.983885391488111694e+01	-1.602384463859633001e+02	1.752789113081786638e+02
7.000000000000000000e+00	-5.592997079621003564e+01	-7.473634413335831539e+01	-5.912989369733531220e+01	-5.026800145912997664e+01	-5.262242360100695038e+01	-3.402127087237425229e+01	-1.648853735902741562e+02	1.735159587080518122e+02
7.500000000000000000e+00	-5.634482383508555614e+01	-7.493743503858698318e+01	-5.959891412692576296e+01	-5.013880400739883214e+01	-5.489429734694564189e+01	-3.805151528484523027e+01	-1.691591718385495824e+02	1.716947624497093443e+02
8.000000000000000000e+00	-5.675885770161912802e+01	-7.518188199262780813e+01	-6.003521242069290054e+01	-5.003015661586776730e+01	-5.699887343962652864e+01	-4.191424588770944837e+01	-1.730986958566042233e+02	1.698400194226851738e+02
8.500000000000000000e+00	-5.717091526391912026e+01	-7.546335218057544125e+01	-6.044203023156133270e+01	-4.994002145810250681e+01	-5.895190927130727943e+01	-4.560343222808933916e+01	-1.767386246776567020e+02	1.679700532780010178e+02
9.000000000000000000e+00	-5.758021035530060061e+01	-7.577666776604408483e+01	-6.082324088195183265e+01	-4.986640256611817534e+01	-6.076815567910963978e+01	-4.911890075358494556e+01	1.798897627612373640e+02	1.660982796988938901e+02
9.500000000000000000e+00	-5.798622489965512727e+01	-7.611767550998965248e+01	-6.118102149447464910e+01	-4.980745208343201824e+01	-6.246083211091499976e+01	-5.246416256671675171e+01	1.767593130952298281e+02	1.642343531271509960e+02
1.000000000000000000e+01	-5.838867659114974629e+01	-7.648308692107043782e+01	-6.151826167679031698e+01	-4.976149036068068199e+01	-6.404212318489831546e+01	-5.564472818310463254e+01	1.738447649867396763e+02	1.623851605487400036e+02
1.050000000000000000e+01	-5.878744615311288157e+01	-7.687035811181115719e+01	-6.183650524630552070e+01	-4.972703103938319202e+01	-6.552279745413774492e+01	-5.866719741617325212e+01	1.711249424554569885e+02	1.605555040975070540e+02
1.100000000000000000e+01	-5.918255951358096922e+01	-7.727756328107756190e+01	-6.213799730361589013e+01	-4.970275830864687094e+01	-6.691271607921758857e+01	-6.153841403035266922e+01	1.685795197541293646e+02	1.587486999136544341e+02
1.150000000000000000e+01	-5.957413789156180428e+01	-7.770331152853036372e+01	-6.242387694639481310e+01	-4.968752716322097740e+01	-6.822052278323818086e+01	-6.426515501417408416e+01	1.661921069744056467e+02	1.569669397315862227e+02
1.200000000000000000e+01	-5.996239031833611222e+01	-7.814665994338633936e+01	-6.269593721048404689e+01	-4.968033157713488634e+01	-6.945412984650482713e+01	-6.685365549815777797e+01	1.639463923644712509e+02	1.552116441669642484e+02
1.250000000000000000e+01	-6.034757982093140072e+01	-7.860706423517400765e+01	-6.295504039828770715e+01	-4.968030007703404038e+01	-7.062043968281628281e+01	-6.930957249989697289e+01	1.618297795351411423e+02	1.534836350338225941e+02
1.300000000000000000e+01	-6.073002242236763948e+01	-7.908432468164258466e+01	-6.320264470788544742e+01	-4.968666581114526082e+01	-7.172579509483776405e+01	-7.163764943648470762e+01	1.598291739101692031e+02	1.517833501009691304e+02
1.350000000000000000e+01	-6.111006430175535797e+01	-7.957856297522388900e+01	-6.343941249581543929e+01	-4.969876352373368178e+01	-7.277571385940024129e+01	-7.384179498349809023e+01	1.579349515085895348e+02	1.501109099602205390e+02
1.400000000000000000e+01	-6.148808445896144548e+01	-8.009019427120820467e+01	-6.366654400309370487e+01	-4.971600415437747245e+01	-7.377530202048509977e+01	-7.592476743729832833e+01	1.561365666952196136e+02	1.484662577189444903e+02
1.450000000000000000e+01	-6.186447932919129755e+01	-8.061992463680013543e+01	-6.388455130478898525e+01	-4.973787437438467407e+01	-7.472899378802311787e+01	-7.788828250424889177e+01	1.544267042327105344e+02	1.468491682432285472e+02
1.500000000000000000e+01	-6.223966731021192800e+01	-8.116874546793509637e+01	-6.409443053181105654e+01	-4.976391564267223089e+01	-7.564093172301446089e+01	-7.973264100676803423e+01	1.527968234158720975e+02	1.452593479562524124e+02
1.550000000000000000e+01	-6.261407853479504126e+01	-8.173794921696324423e+01	-6.429657776376875233e+01	-4.979372595932456846e+01	-7.651470924590240941e+01	-8.145680183797267659e+01	1.512413919554765869e+02	1.436964126817582041e+02
1.600000000000000000e+01	-6.298816020582033559e+01	-8.232914600018170859e+01	-6.449182469498536818e+01	-4.982694261779521838e+01	-7.735372312140466988e+01	-8.305787810139783289e+01	1.497534404803724044e+02	1.421599665492312283e+02
1.650000000000000000e+01	-6.336237008577001717e+01	-8.294429887481859964e+01	-6.468047634571610160e+01	-4.986324553226154421e+01	-7.816091786834212485e+01	-8.453109634909242232e+01	1.483288089952634436e+02	1.406495626373064169e+02
1.700000000000000000e+01	-6.373718208656416095e+01	-8.358576610753921443e+01	-6.486323033489030365e+01	-4.990234287746351072e+01	-7.893911598219338543e+01	-8.586904729783304902e+01	1.469617584881970913e+02	1.391647711299581829e+02
1.750000000000000000e+01	-6.411308260633265377e+01	-8.425636096010345000e+01	-6.504031945816305438e+01	-4.994397541301204058e+01	-7.969076418069511192e+01	-8.706138792629784007e+01	1.456491832199260728e+02	1.377051304628510309e+02
1.800000000000000000e+01	-6.449057614928616999e+01	-8.495942651263973744e+01	-6.521233110223207063e+01	-4.998790435553240030e+01	-8.041824626510351948e+01	-8.809362407327085975e+01	1.443863087183914899e+02	1.362702101248320901e+02
1.850000000000000000e+01	-6.487018403094305086e+01	-8.569892722510304850e+01	-6.537944045658647951e+01	-5.003391624805814075e+01	-8.112363126520493495e+01	-8.894624538159170868e+01	1.431708384014657724e+02	1.348595565185451335e+02
1.900000000000000000e+01	-6.525245002431559271e+01	-8.647956242938214189e+01	-6.554214372496491592e+01	-5.008181257267000319e+01	-8.180897322897664026e+01	-8.959254647086740420e+01	1.419987558883855741e+02	1.334727532341840970e+02
1.950000000000000000e+01	-6.563794124241778150e+01	-8.730688855129943704e+01	-6.570057004925686783e+01	-5.013141485095680139e+01	-8.247606125707471847e+01	-8.999646145585454349e+01	1.408683854883784932e+02	1.321093639542532685e+02
